Title,Body,Labels,Milestone
Feature store — janelas (5m/10m/24h/7d),"**Descrição**
Calcular métricas: contagem de tentativas, números únicos, duração média quando atendido, padrões de horário.

**Critérios de aceitação**
- Consultas eficientes (evitar varrer histórico inteiro)
- Perfis atualizam incrementalmente","epic/intelligence,prio/P0,type/feature,area/data",Fase 1
Allowlist automática — duração atendida >= 20s (TTL 30 dias),"**Descrição**
Se usuário atender e conversar ≥20s, permitir sempre por 30 dias (TTL), sem acesso a contatos.

**Critérios de aceitação**
- Regra aplicada automaticamente
- TTL expira corretamente
- Não depende de permissão de contatos","epic/intelligence,prio/P0,type/feature,area/core",Fase 1
Regra “emergência condicional” (SILENCE->ALLOW na 2ª em 5 min),"**Descrição**
Implementar promoção SILENCE->ALLOW na 2ª tentativa em 5 min quando não houver sinais fortes (ANDROID_SPAM, SHORT_CALL, BURST_MANY).

**Critérios de aceitação**
- Não aplica com sinais fortes
- Aplica quando score ficaria 4–5 por repetição
- Testes cobrindo entregador vs spam insistente","epic/intelligence,prio/P1,type/feature,area/core",Fase 1
UI Home — estado (Protegido/Aprendendo/Intervenção) + contadores,"**Descrição**
Tela principal com estado atual, bloqueios últimos 7 dias e botão “Ativar proteção” quando necessário.

**Critérios de aceitação**
- Sem onboarding longo
- Estado reflete critérios objetivos
- Sem banners/upsell","epic/ui,prio/P0,type/feature,area/ui",Fase 1
UI Regras — 3–6 toggles + slider de agressividade,"**Descrição**
Tela de regras com toggles (ex.: usar sinal Android spam, silenciar desconhecidos repetidos, modo noite) + slider agressividade.

**Critérios de aceitação**
- Defaults conservadores nos 3 primeiros dias (Aprendendo)
- Notificações OFF por padrão
- Persistência em RulesConfig","epic/ui,prio/P0,type/feature,area/ui",Fase 1
UI Revisão — bloqueios recentes + overrides (Allow/Block 30 dias),"**Descrição**
Lista (ex.: 50 itens) com ações: Permitir sempre (30 dias), Bloquear sempre (30 dias), Desfazer.

**Critérios de aceitação**
- Ações criam/atualizam UserOverrides com TTL
- Mostra motivo resumido (reason codes traduzidos)","epic/ui,prio/P0,type/feature,area/ui",Fase 1
Botão paranoico — apagar histórico local (reset total),"**Descrição**
Um botão que apaga DB/estado local e reseta o aprendizado.

**Critérios de aceitação**
- Apaga CallEvents e perfis
- Volta para estado Aprendendo
- Não gera chamadas de rede","epic/privacy,prio/P1,type/feature,area/privacy",Fase 2
Performance — medir wakeups/CPU/RAM (checklist + relatório),"**Descrição**
Criar checklist e testes de performance (manual + logs). Medir antes/depois.

**Critérios de aceitação**
- Relatório com métricas antes/depois
- Ações de otimização listadas e aplicadas quando necessário","epic/perf,prio/P0,type/test,area/qa",Fase 2
"Notificações agregadas (OFF por padrão, no máx 1/dia)","**Descrição**
Implementar notificação diária opcional: “Hoje: X bloqueios, Y silenciados, revisar Z”.

**Critérios de aceitação**
- Default OFF
- No máximo 1/dia
- Nunca interrompe chamada em tempo real","epic/perf,prio/P1,type/feature,area/ui",Fase 2
Backend (Laravel) — GET /reputation/delta (ETag + gzip + checksum),"**Descrição**
Endpoint para entregar delta de reputação (hashes/pesos) com cache agressivo.

**Critérios de aceitação**
- Payload pequeno e cacheável (ETag)
- gzip habilitado
- checksum/assinatura disponível","epic/backend,prio/P2,type/feature,area/backend",Fase 3 (Opcional)
Backend (Laravel) — POST /reputation/vote (rate limit + anti-abuso),"**Descrição**
Endpoint de voto voluntário por hash com rate limit e validação anti-abuso.

**Critérios de aceitação**
- Rate limiting
- Storage: hash, weight, first_seen, last_seen
- Logs mínimos para auditoria","epic/backend,prio/P2,type/feature,area/backend",Fase 3 (Opcional)
App — sync reputação 1x/dia (Wi-Fi) + aplicar como sinal fraco,"**Descrição**
Baixar reputação 1x/dia (preferência Wi-Fi), opt-in explícito, aplicar como sinal fraco.

**Critérios de aceitação**
- Opt-in explícito e reversível
- Nunca bloquear apenas por reputação comunitária
- Respeita economia de bateria (WorkManager)","epic/backend,prio/P2,type/feature,area/core",Fase 3 (Opcional)
